total_gates,num_qubits,time_pennylane_s,time_qiskit_s,time_ratio_qk_pl,mem_pennylane_mib,mem_qiskit_mib,mem_ratio_qk_pl,cached_pennylane_s,cached_qiskit_s
10,5,0.0150698499992358,0.0472123249983269,3.1328994648733106,0.2289843559265136,0.1784913539886474,0.7794914777755797,0.0003676750011436,0.0006797999994887
13,5,0.0176103999992847,0.0437259999998786,2.4829646119142477,0.2417376041412353,0.1803174018859863,0.745922019565627,0.000312400000439,0.0003075999993598
16,5,0.0172693000004073,0.0472200000003795,2.734332022679889,0.2582902908325195,0.1871211528778076,0.7244606534557686,0.0002855249986168,0.0002786749982988
21,5,0.018638474999534,0.0583488000002034,3.1305565504507338,0.2891507148742676,0.2139217853546142,0.7398279663518541,0.0004410749997987,0.0003779250000661
26,5,0.0209911249994547,0.0561525000002802,2.6750591024415753,0.3089466094970703,0.2194445133209228,0.7102991474098173,0.0002852499992513,0.0003817500000877
34,5,0.0248409249998076,0.0840983749994848,3.3854767888126616,0.3646018505096435,0.2296857833862304,0.629963295757204,0.000316075000228,0.000411625000197
43,5,0.0295743249998849,0.0715245749997848,2.418468553384166,0.4030063152313232,0.2698500156402588,0.6695925235944914,0.0006108999987191,0.000499225000567
55,5,0.0322683750000578,0.0959198500004276,2.972565243841866,0.4706850051879883,0.3001472949981689,0.6376818715061725,0.0003367749995959,0.0003617749998738
70,5,0.0533500999990792,0.095864225000696,1.7968893217135595,0.5321886539459229,0.3317890167236328,0.6234424846594847,0.0003931999981432,0.0004226999999445
89,5,0.0470987000016975,0.1150292999991506,2.442303078322858,0.6461081504821777,0.3628029823303222,0.5615205164329989,0.0008841749995553,0.000417949999246
113,5,0.0527436000002126,0.1513129999993907,2.868840958879955,0.7942366600036621,0.4043631553649902,0.5091217463609974,0.0006003250000503,0.0005977500004519
144,5,0.0908666000004814,0.217729075000534,2.3961397807266973,0.9737441539764404,0.4220678806304931,0.43344843602594296,0.000519549999808,0.0007467000004908
183,5,0.0774255249998532,0.2096281750009438,2.707481479800638,1.19425368309021,0.4901049137115478,0.41038593445520644,0.0005744249992858,0.0005900499991184
234,5,0.1025030500004504,0.2666730499986443,2.6016108788711407,1.484278917312622,0.5693478584289551,0.3835854917752212,0.000775674999204,0.0007793249997121
298,5,0.1230056249996778,0.3370248749997699,2.7399143331912885,1.9004547595977783,0.6796376705169678,0.3576184421568707,0.0014250749991333,0.0010028250007962
379,5,0.1504846749994612,0.4406259000006685,2.9280449986169432,2.288379907608032,0.8074038028717041,0.35282769272155373,0.0016174250004041,0.000945024999055
483,5,0.1860665750000407,0.5186084249990017,2.7872197088536095,2.8117995262146,0.9556646347045898,0.3398765188609155,0.0011246250005569,0.0012131499997849
616,5,0.2298427249997985,0.6507688750007219,2.8313659916853684,3.588864088058472,1.1449739933013916,0.3190352059057236,0.0018381999998382,0.0016490749994773
785,5,0.3009510250003586,0.8165870000002542,2.713355104868911,4.556762218475342,1.413572072982788,0.31021414004256703,0.0018760999992082,0.0022110500003691
1000,5,0.4202994500001296,1.0024731000003158,2.3851401661363267,5.617950916290283,1.7474238872528076,0.31104292531033517,0.0020079750011063,0.0020833750004385
