total_gates,num_qubits,time_raw_s,time_executor_s,time_overhead_s,time_ratio,mem_raw_mib,mem_executor_mib,mem_overhead_mib,mem_ratio
10,5,0.018389850000176,0.0102518749995397,-0.0081379750006363,0.5574746395126433,0.2113459110260009,0.2295923233032226,0.018246412277221707,1.0863343520044584
13,5,0.0170031250004285,0.0159891000000698,-0.0010140250003586974,0.9403624333566246,0.2250430583953857,0.2419862747192382,0.01694321632385251,1.0752887755999316
16,5,0.0205961499998466,0.0130818999996336,-0.007514250000212998,0.6351623968426641,0.2417926788330078,0.2574961185455322,0.015703439712524414,1.0649458858238212
21,5,0.0155040500001177,0.0164057750000665,0.0009017249999488004,1.0581606096434129,0.2728192806243896,0.2892642021179199,0.01644492149353033,1.0602777100500138
26,5,0.016801100000066,0.0153085250001367,-0.001492574999929299,0.9111620667739948,0.2912893295288086,0.307880163192749,0.01659083366394043,1.0569565445146167
34,5,0.0184378500000548,0.0194281499998396,0.0009902999997848001,1.0537101668460183,0.3466272354125976,0.3644361495971679,0.017808914184570312,1.0513777117466607
43,5,0.0208262749999903,0.0202589999998963,-0.0005672750000940002,0.9727615716159388,0.385136604309082,0.4031970500946045,0.018060445785522516,1.0468936101722197
55,5,0.0255323250000856,0.0234881249998579,-0.0020442000002276993,0.919936786006725,0.4534661769866943,0.471290111541748,0.01782393455505371,1.039305984568672
70,5,0.0383521749999999,0.0303070249999564,-0.008045150000043497,0.7902296284358444,0.5141372680664062,0.5319421291351318,0.017804861068725586,1.0346305591416998
89,5,0.0437966500001039,0.0337262000000464,-0.010070450000057504,0.7700634637573054,0.6280367374420166,0.6457357406616211,0.017699003219604492,1.0281814775544695
113,5,0.043357700000115,0.0716008249999049,0.028243124999789905,1.6513981368872195,0.7759990692138672,0.7944726943969727,0.01847362518310547,1.023806246574265
144,5,0.0501106749995869,0.074587025000028,0.024476350000441106,1.4884458251788244,0.9556453227996826,0.973686933517456,0.018041610717773438,1.018878981864232
183,5,0.1654931999999007,0.1154223250002814,-0.05007087499961929,0.6974445173599317,1.1741516590118408,1.194221258163452,0.020069599151611106,1.0170928508234631
234,5,0.0803119499998956,0.0918077999999695,0.011495850000073901,1.143139968586105,1.4638938903808594,1.4844145774841309,0.020520687103271484,1.0140178787807719
298,5,0.1212671250000312,0.1586323749997973,0.03736524999976609,1.3081234918347118,1.879769325256348,1.9002578258514404,0.02048850059509233,1.010899475972829
379,5,0.1178163500001119,0.1697122500002024,0.051895900000090506,1.4404813084095818,2.259318590164185,2.288496732711792,0.029178142547606978,1.012914576401324
483,5,0.1504332500001055,0.1958054500003072,0.0453722000002017,1.3016101825904172,2.779646158218384,2.810429334640503,0.03078317642211914,1.011074494619074
616,5,0.1892957750001187,0.3476415250001992,0.15834575000008047,1.8364991241879602,3.5341029167175293,3.589179992675781,0.05507707595825151,1.0155844572883597
785,5,0.2453752500000519,0.5391982500000267,0.29382299999997485,2.1974435074438547,4.485339164733887,4.555929899215698,0.07059073448181152,1.0157381040517144
1000,5,0.674019824999732,0.4015230000002248,-0.2724968249995072,0.5957139317087363,5.532801628112793,5.616487979888916,0.08368635177612305,1.0151254929059634
